Archivo,Tamano (MB)
BIOGRID-ORCS-SCREEN_1353-1.1.16.screen.csv,2.2150373458862305
BIOGRID-ORCS-SCREEN_1669-1.1.16.screen.csv,2.21370792388916
BIOGRID-ORCS-SCREEN_1967-1.1.16.screen.csv,2.2108678817749023
BIOGRID-ORCS-SCREEN_1968-1.1.16.screen.csv,2.210066795349121
BIOGRID-ORCS-SCREEN_1193-1.1.16.screen.csv,2.209622383117676
BIOGRID-ORCS-SCREEN_2216-1.1.16.screen.csv,2.2054319381713867
BIOGRID-ORCS-SCREEN_1980-1.1.16.screen.csv,2.2021360397338867
BIOGRID-ORCS-SCREEN_1979-1.1.16.screen.csv,2.1958932876586914
BIOGRID-ORCS-SCREEN_1982-1.1.16.screen.csv,2.1944351196289062
BIOGRID-ORCS-SCREEN_1524-1.1.16.screen.csv,2.1924285888671875
BIOGRID-ORCS-SCREEN_1953-1.1.16.screen.csv,2.189563751220703
BIOGRID-ORCS-SCREEN_1954-1.1.16.screen.csv,2.1887083053588867
BIOGRID-ORCS-SCREEN_1058-1.1.16.screen.csv,2.1870298385620117
BIOGRID-ORCS-SCREEN_1057-1.1.16.screen.csv,2.186831474304199
BIOGRID-ORCS-SCREEN_1456-1.1.16.screen.csv,2.185688018798828
BIOGRID-ORCS-SCREEN_1056-1.1.16.screen.csv,2.1854305267333984
BIOGRID-ORCS-SCREEN_1363-1.1.16.screen.csv,2.185267448425293
BIOGRID-ORCS-SCREEN_1060-1.1.16.screen.csv,2.184969902038574
BIOGRID-ORCS-SCREEN_1433-1.1.16.screen.csv,2.1823978424072266
BIOGRID-ORCS-SCREEN_1019-1.1.16.screen.csv,2.182257652282715
BIOGRID-ORCS-SCREEN_1431-1.1.16.screen.csv,2.179838180541992
BIOGRID-ORCS-SCREEN_1981-1.1.16.screen.csv,2.1790504455566406
BIOGRID-ORCS-SCREEN_1190-1.1.16.screen.csv,2.177729606628418
BIOGRID-ORCS-SCREEN_1815-1.1.16.screen.csv,2.177579879760742
BIOGRID-ORCS-SCREEN_1805-1.1.16.screen.csv,2.1770009994506836
BIOGRID-ORCS-SCREEN_1061-1.1.16.screen.csv,2.1747541427612305
BIOGRID-ORCS-SCREEN_1168-1.1.16.screen.csv,2.1746959686279297
